no,jokae,gekae,pair,name,kikkyo,keyword,meaning
46,六,一,六一,天水訴,×,争い,争い・口論の卦。争うよりも若いに努めること。
47,六,二,六二,天地否,×,天地バラバラ,八方塞がりの卦。苦労が多いが次第に良くなっていきます。
48,六,三,六三,天雷无妄,×,突発事態,自然の成り行きに任せて、無心でいることが最良です。
49,六,四,六四,天風姤,△,偶然の出会い,出会いの卦。予期しない出来事や偶然の出会いがあります。
50,六,五,六五,×,×,×,×
51,六,六,六六,乾為天,〇,強すぎる,運気は勢いがありますが、やり過ぎに注意。
52,六,七,六七,天沢履,△,危険,危険。慎重かつ礼儀正しく行動して危険を避けよ。
53,六,八,六八,天山遯,×,退く,逃れる、退くの意味。身を引いて次の機会を待ちましょう。
54,六,九,六九,天火同人,〇,よき友人,良き友人と出会います。人と共同で行動すれば良い結果となります。
55,七,一,七一,沢水困,×,困難,困難の卦。人からの誤解に注意。前向きに考えることが大切。
56,七,二,七二,沢地翠,〇,集まる,者や人が集まる賑やかな卦。友達も増えるがライバルも増えます。
57,七,三,七三,沢雷随,△,従う,世の中の流れや周囲の動きに逆らわず、従った方が良い卦。
58,七,四,七四,沢風大過,×,妬み,荷が重すぎて身動きとれない卦。身のほどをわきまえること。
59,七,五,七五,×,×,×,×
60,七,六,七六,沢天夬,×,決断,決断の卦。あせりは禁物。じっくりと吟味してから決めましょう。
61,七,七,七七,兌為沢,〇,金縁・娯楽,喜びの卦。小さいな喜びがあるが、不平不満もあります。
62,七,八,七八,沢山咸,〇,恋愛,恋愛の卦。気持ちが通じ合う時。早めの行動が大切です。
63,七,九,七九,沢火革,〇,腐れ縁の清算,改革の卦。古いものへのこだわりを捨て、思い切って変わる時。
64,八,一,八一,山水蒙,△,五里霧中,先がはっきり見えず迷いやすい時。良き指導者を探しましょう。
65,八,二,八二,山地剥,×,剥奪,足元が不安定で崩れそうです。耐えて時期を待ちましょう。
66,八,三,八三,山雷頣,△,飲食後の盛運,繰りは災いの元。言葉遣いには注意が必要。食べ過ぎにも注意。
67,八,四,八四,山風蠱,×,中年女の縁作り,腐敗・破れの卦。ほっておくと悪化する早期の対処が必要。
68,八,五,八五,×,×,×,×
69,八,六,八六,山天大畜,〇,良縁・財運,チャンスは近い。焦らずにじっくりと実力を養うこと。
70,八,七,八七,山沢損,×,減少（良くも悪くも）,損失の卦。将来のために投資（損）をする時です。
71,八,八,八八,艮為山,×,停止,停滞の卦。山のように不動の精神でいること。
72,八,九,八九,山火賁,△,宣伝効果,虚飾の卦。外見は派手だが内実は苦しい。外見に惑わされるな。
73,九,一,九一,火水未済,△,時期尚早,未完成の卦。最後までやり遂げましょう。
74,九,二,九二,火地晋,◎,ツキを呼び込む,前進の卦。積極的に前へ進みましょう。
75,九,三,九三,火雷噬嗑,△,大金運・大良運,邪魔や障害があるが、それをどかして初めて目標を達成できます。
76,九,四,九四,火沢鼎,〇,三人で協力,３人で協力し合うと良い結果が得れます。
77,九,五,九五,×,×,×,×
78,九,六,九六,火天大有,◎,大盛運,運気は盛んな時です。物質運にも恵まれ臨時収入のチャンスです。
79,九,七,九七,火沢睽,×,争い,お互いに背き合う意味の卦。内輪もめに注意。
80,九,八,九八,火山旅,△,孤独,旅人の卦。一人旅のように孤独を感じる時。行動は慎重に。
81,九,九,九九,離為火,△,感情的になる,移り気に注意。目的は一つに絞り込むこと。文章のミスに注意。
